index,ratings,reviews
84,1,Very Low Quality Camera if you are looking camera then please don't buy this.
85,1,Not good
86,1,Side button working is bad
87,1,Not good
88,1,"Not worth.. u only get display..
Camera is useless.. not even 10 Megapixel.
I wish I can return this"
89,1,"very very poor perfome, just look ok."
90,1,"Hanging issue from day 1, heating when I see vedios In phone, battery is worst only 6 hours working."
91,1,Very bad cemra
92,1,Battery discharging and heating problem issued
93,1,Not buy realme 8i low performance screen problem
94,1,Camera quality very poor. Plz no one buy this Realme 8i Mobile
95,1,Third quality phone
96,1,Very Bad
97,1,Proximity sensor not working...
98,1,Proximity sensor not working.worst experience.
99,1,Direct video call is not supporting through Airtel and Automatically data connection disconnect when a incoming call comes. Camera Quality is very poor while other companies are giving so much good features at this range.
100,1,After one week from purchase phone is lagging display completely black while calling.This time my purchase is completely loss for me.
101,1,Lagging and hanging very much
102,1,worst camra of this phone for photo lover .please do not buy
103,1,Very veryyyyyyyyyyyyyy worst quality product.. Waste of moneyyyyyy
104,1,My phone is hanging
105,1,"I've changed my review after using 15days.
Humble request to all of you guys please don't waste your money for this disgusting phone. This phone has so many bugs and issue. For an example : you can't make a simple call and receive also.
I'm just waste my money"
106,1,Very bed
107,1,Camera Quality is ver very bad pls do not waste your money. Ì have 3 times complaints in flipkart customer care but did not replace my mobile white 3 times technician visited nd also facing camera issues. hate flipkart and waste product pls guys don't buy it
108,1,Vey poor
109,1,Phone is too slow and camara quality is very bad
110,1,Proximity sensor is not working
111,1,Again same problem network issue.....
112,1,"Power button not working, mobile is not crossing even 1 month"
113,1,Very wrost performance
114,1,It is not good very poor ......
115,1,"Sensor problem, screen will get shut down during the call waste produc"
116,1,Sensors are not working properly
117,1,"Very bad camera
Low performance"
118,1,"Very slow charging takes more than 2.5 hrs to charge.
Heating issues"
119,1,"Camera quality very poor ,and battery backup"
120,1,Display is not working properly and also bling
121,1,Bad phone.. phn flash is very low. Nd bettery charging not properly time.
122,1,Best gaming phone
123,1,Very cheap smartphone
124,1,Battery backup is not good .is very low battery performance 😭
125,1,It’s not good phone. Camera is very bad and performs also not good. Don’t buy this phone.
126,1,Camera is very lost
127,1,Very bat camera
128,1,"Battery backup very poor....
Mobile heating"
129,1,It is too much bad ... don't buy it . camera is just like 2MP
130,1,Price is very high
131,1,"Everybody talking about good I'm mentioning bad
1 Battery drain automatically
2 Sometimes screen not respond
3 Charging time is too slow and not support vooc charger
4 Camera is basic
5 Phone Just heat if you browsing in phone setting, gallery, contact etc...
****NOT RECOMMENDED THIS TO ANYONE****"
132,1,Waste of money
133,1,Fingerprint sensor key didn't respond even to lock/unlock the display of the phone for one day. So wasn't able to even restart the phone. Then it started to work fine on its own. Camera is average. Display is just fine but quality issues r main concern. Refund request raised is still unanswered. Better to go with Samsung.
134,1,Very bad
135,1,Sorry
136,1,While taking pictures taking too much time
137,1,camera quality very poor & very low flashlight dont buy this phone
138,1,While in a call it's hard to on the display no setting to change
139,1,"After using four days i am writing this review

After charging the phone for 100% it doesnt last long for a full day
The camera quality (50MP) is not upto the mark.
The most and important issue which i got with this phone is hanging,Yes when i plugin earphones that to realme earphones for the first time the phone gets hanged here is the image."
140,1,Battery is not charging..
141,1,Wrost experience from flipkart
142,1,veey bad experience
143,1,Worst phone
144,1,Worst mobile
145,1,"Most shitty thing i ever bought,
There is so much issues in this phone like performance,battery,charging as well.
Suggest u not to buy this kind of thing ."
146,1,Camera is not good
147,1,"•Worst camera. Even realme 3 pro have much better camera quality.

• it started lagging the day it was delivered.

•Charging takes too much time to full and it drain very quickly because of 120Hz display.

•Display is good.

I'l suggest Samsung galaxy F22 is way better than this trash ."
148,1,Battery backup is not good
149,1,All over good ☺️ a
150,1,"#Worst product
purchased date - 30 September
Display problem date - 5 October
Within 6 days display problem started
Half of display started blinking"
151,1,camera very bad. selfi too bad. go for Nokia 5.4 for the same price
152,1,I have received it today and found that rear camera performance is poor. Front camera is quiet OK. Takes more time to charge. 120 Hz refresh rate feels like 60Hz. Battery drains quickly. heat up while charging.
153,1,Camera quality is very bad also touch not working properly
154,1,"Back camera is vey bad, some times phone heating very well it is not a good camera phone jst below avrg"
155,1,"Good looking and design and working also good.
Used from today ."
156,1,"Flipkart is cheating with me . I brought realme 8i from flipkart but this product is damaged camera and speaker quality is very poor.
I am not stastify with delivery ..please replace realme 8i very bad perodect"
157,1,Battery over heating
158,1,"Very sad to say that I am very disagree for the realme 8i , because I am using 4day and lock button is not working..."
159,1,Display issue have in this mobile.power off button not working properly.. don't buy
160,1,Very dedicate Mobile. Waste phone
161,1,"Don't buy this buy you will regret you can get better Phone below this rage ,over price"
162,1,"Primary Camera too bad.
Excessive heating and rapid battery draining issue.
Flash is very weak .
Software Issue.
Restart Issue..
Many features missing.
Not money worthy. Bad phone."
163,1,Worst mobile waste of money
164,1,worst model
165,1,"Charger not good not charge fast
Very very bad service"
166,1,Worst don't waste the money.... display was horrible and automatically sounds low.... sometimes hang too...
167,1,Bed camera and processing very slow
168,1,Camera problem...
169,1,"Even realme 3pro have a better camera, performance then this. Pls don't waste money on this."
170,1,Waste
171,1,Camera quality is very poor and Battery indicator decrease fast
172,1,Battery are very bad
173,1,"Very bad camera, nothing like 50MP"
174,1,Network problems faced
175,1,Worst products and problematic phone please don't buy this phone it is waste of money
176,1,Worst mobile ever
177,1,Over heating issues and charge problem 😩
178,2,"Positive Site ::——

1. Performance – is very good
2. Display – Display is good but it would have been better if it was a little brighter but ok
3. Fingerprint sensor and Face unlock is very fast

Negative Site ::——
1. Camera – The quality of the camera is not good at all, the detailing does not come at all, better than this, photos are clicked in Redmi 9 Power
2. Battery – Battery performance is fine but charging is very slow, from 0% to 50% it takes 35 to 40 minutes but it takes 1:30 hours t...
READ MORE"
179,2,"Start hanging on a second day of purchasing,front camera quality is worst look like picture taken from 2 mp camera."
180,2,Call recording features are totally worst and...
181,2,Battery is not good
182,2,Good product
183,2,Not satisfied with display quality
184,2,Very bad performance
185,2,Lag n heat issue during simple works n heating when charging heat when you use camera compass n customize your mobile
186,2,Nice phone
187,2,Not good
188,2,Mobile Phone very poor qwality
189,2,Sensors pbm
190,2,Nice but not best
191,2,Don't buy
192,2,"Not worthless
Hanging one week onwards
Fingerprint not supporting"
193,2,Battery backup very bad
194,2,Battery backup problem very much
195,2,Camera not good as described
196,2,Wrost camera
197,2,Mobile is very heating
198,2,Battery performance very poor....
199,2,Not good
200,2,Really not happy with the phone the camera says 50 mega pixel but the quality is pathetic wen u zoom & take a pic the image gets too much blurred & the phone charging is too slow. Not value for money I would say.
201,2,Bad product.heat fastly while playing game or charging.
202,2,"1. camera is good
2. display also good

major issue is sensor problem these all real me phones have sensor problem while getting call or receiving phone screen will be black and phone wont work untill the other person wont discoonect the call


if this issue resolve phone is good"
203,2,Camera Quality is not Good
204,2,Camera quality is so bad and video quality is worstest i ever seen
205,2,Phone battery not goes to 100 percnatage..even 26 to 99 percentage is in more then 3 hours .....
206,2,Very very bad
207,2,Totally waste.. waste of money
208,2,Without fast charge only disadvantages
209,2,"Worst display and camera, don't waste your money, really cheap display quality"
210,2,"Worst experience in camera ever in my life
Decent quality phone"
211,2,Some error are appears please fixed these bugs
212,2,Battery 🔋 backup whole day and big problem heating issue normal uses and I purchased 3/10/2021 and my review after 6 day this problem solve new software update for realme company
213,2,Average
214,2,"Front camera quality is very poor..not satisfied for realme 8i front camera
And a mazor issue- the mobile automatically switch on when I off the mobile power and charge it."
215,5,"Phone good but camera in very bad ..after clicking photo like extra red ...very bad
2 star for cemera"
216,2,"Did not liked it. Slow performance , slow charging , rubber case is 3rd quality. Better to purchase redmi in this price range ...or go for the brands like samsung, moto g40 is good choice for this price range. Very disappointed"
217,2,"I don't why but phone has some bugs, i hope realme updated will fix it"
218,2,Phone has problem within 15 days
219,2,Not good it's ok 😊
220,2,"West of money....
Battery low very fast
Very Heating
System slow"
221,2,"Don't buy this phone, after full charging it only goes 5-6hour, I have also Another phone which is 5000mah, but it long last for 8-9hour .. Waste of money.. I suggest don't buy it"
222,2,"Software is buggy, Flash light power is not good.
Hard to set up Fingerprint as it does not recognise properly
Volume buttons and fingerprint button is not ergonomic"
223,2,Heating and slow working in playing game
224,2,Worest experience ..camera is not good battery ..charger ..taking lot of time to charge ..don't buy
225,2,"Over price..

Too much price according to mobile"
226,2,"The product inhave received has malfunction call sensors and even the lock unlock button is not working properly.
One more thing there is a software issue and that is it will hang badly when you restarted or switch on the fone for 2-3 minutes.
Its ui loading is slow after restarting.
Not happy with the product as i have tried to replace the product 3 times in a row and has been cancelled."
227,2,It's not a good phone।।not a 5g
228,2,"All Ok but Battery Performance is not as expected.
After a full charge it's not even last for a full day."
229,3,It is a good phone under this price range. Camera is good along with its UI. O for it if you have a tight budget. There is no earphones available at box so keep it in mind. If you have budget of more than 13000 than go for Mi 10 pro or vivo or poco.
230,3,"You can play pubg with 40fps only smooth plus ultra only ..for normal gaming this is good enough but for competitive it's not that good ...


Camera is good enough at this price
Battery is outstanding
Display is not so good but 120hz feels better
Phone heats while charging and playing heavy games



Finally at this price you can choose this phone there is no better option apart from this


I was disappointed with flipkart for late delivery..😓😥"
231,3,"Camera quality is not good at this price point..this camera quality is poor than 13mp of other brand like mi, OPPO, color saturation is good but clarity is very less.. Rest display is really good and feels soothing for eyes..performances is also good and runs super fast.. Battery backup is decent.."
232,3,Nice phone..but 📷 not good..
233,3,Nice phone 🙂
234,3,"Value for money 🤑
Not use 5gb daynamic ram
Camera short time blurred
Battery capacity nice 🙂"
235,3,good
236,3,Excellent 😊
237,3,"Very very slow phone
Like 1 gb ram"
238,3,This ph is overall good but sometime display light is vibrating and and the phone boarder colour (black portion) is discoloured within 7 days this is really disappointed me .
239,3,Battery back up not so good other wise pH is good
240,3,Best phone under 15000
241,3,Suberb camera
242,3,Nice phone
243,3,Phone is awesome but i am not satisfied in back camara
244,3,Slow charging is the main issue
245,3,Camera worst
246,3,Rear Camera could have been better
247,3,Good for the price bought for my dad
248,3,Good..
249,3,"Overall Phone are performing well
But battery backup not good"
250,3,Super hai camera
251,3,Good product.
252,3,I did not found its camera good
253,3,"Some littel two issue
1. Brightness of this phone is very low than other brand mobile
2. When call coming screen is off. If i want to use the screen using lock/ fingerprint button but i can't use screen is screen is also off screen is on automatically after call disconnected."
254,3,Good phone
255,3,"Decent Camera performance 4/5
Battery Performance 3/5 ( bad performance as slow charging and fast decreasing while using the phone)
Screen ( fair performance as improvement required)
Processor - fair
Value for Money - Little high priced compared to Resmi and POCO Brand mobile"
256,3,Good device in this range
257,3,Battery is so bad
258,3,Good product everything ok
259,3,Good mobile
260,3,Not a very good phone. I am not impressed
261,3,"If u need just performance go for it , bad camera and display."
262,3,Not bad
263,3,Camera quality is not good
264,3,"Software problem, Hotspot inactive every time, message not showing while use other applicatio n"
265,3,Camera quality is not good
266,3,Screen damged
267,3,This phone hang so much....very disappointed with this realme 8i phone...
268,3,Ok type
269,3,Camera not my expectations
270,3,Average
271,3,With 4 GB variant it doesn't allow to increase dynamic ram
272,3,No thanks
273,3,Good
274,3,Best camera
275,3,Gd display
276,3,Nice product
277,3,Good for money
278,3,Good Product
279,3,Good phone
280,3,Ok ok!!!
281,3,This price range best phone
282,3,Mobile is very simple
283,3,Ook
284,3,Display brightness is too weak
285,3,Good
286,3,Good
287,3,Good
288,3,"Very disappointed with this product. Do not disturbe feature automatically turns on, Screen off on call makes phone dead and it stops responding. Automatically on the vibration and restart require to stop it ... Update software but all these problems still persist"
289,3,Good mobile
290,3,"Good product camera, battery and performance is good"
291,3,Touch not working properly and space is filled auto.some function not work properly.camera is very bad quality.
292,3,average Phone
293,3,Display quality not good at low light waste of money
294,3,good
295,3,Good
296,3,"Go for 6gb ram varient , in 4gb ram varient dynamic ram option not present. These information not mentioned correctly in the description

Heating issue occurs if you use more than 2 apps simultaneously this is majar drawback,.,.. These is realy sad.."
297,3,Good quality and good product any other mobile this range
298,3,Good
299,3,Poor camera quality.. otherwise ok
300,3,The camera is very average .It was expected to deliver more good photos but it's not .Build quality and design is ok.
301,3,Just good....
302,3,It's all functions are satisfactory. But the flash light is of very low quality. Sd card ejects automatically that irritates user.
303,3,I have bay for camera fon but camera is bed.
304,3,Not bad😊
305,3,Wide angle camera missing baki average
306,3,Nice
307,3,Good
308,3,Mobile is good but as per camera wide angle is not available this is cons for mobile.... And little bit mobile gets hang
309,3,"Average battery quality and charger is also cheap
Battery drain issue slow charging worst product"
310,3,"Performance packed device but only and main con of this product is it's selfie camera
Because realme has mentioned that the sensor used in this phone is 16mp but in real world the quality of the selfie camera is very poor tbh captured image quality looks fade away and portrait detection is really bad.
Better provide the updates asap to fix the camera issues."
311,3,Good
312,3,Good
313,3,Battery backup is not good .It takes too much time to charge. 0 to 100 % takes 2hr 27 minutes.30 watt Charger needs this mobile.Camera quality is good but not true as advertised.Over all I gave 3 star out of 5.
314,3,Nice
315,3,Display is good but not sAmoled. Camera is just average. speaker not at all good.
316,3,Camera performance is not good as expectation
317,3,Nice
318,3,Nice product
319,3,Nice
320,3,Good luck phone
321,3,All features are good but back camera is not good..
322,3,"touch quality is not as expected
Its difficult to be use on
Camera quality not as 50mp benchmark its same as samsung and honors 16mp camera
Sreen resolution is good
Hd quality good
Sudden screen out
Little bit hang so 4/64 is not recommended try to buy 6/128 may be 6gb ram working good
Finger senser little bit disappointed ☹️"
323,3,Look wise is great but charging & battery back up is not good
324,3,Overall good phone
325,3,Some times stuck with the phone
326,3,Best hai per price value up
327,3,Good mobile
328,3,Avarage But Not Like Good
329,3,Product performance is well and good only the big issue is battery.Battery is not even lasting for a day for normal use.
330,3,Nice
331,3,Not bad
332,3,Good Phone but battery is very low work
333,3,Not bad not good 🤔
334,3,"The phone is the best I like its processing camera!👍👍👍

Very much liked the battery backup plus and display.👍👍

😔But the gaming goes on intermittently, that means in a game with pubg or high-speed, it goes on intermittently. I don't know why but it keeps on going.😤😤😤😤😤"
335,3,Phone is not upto the mark don't go on paper specs flash is poor like red Chinese toy not even bright enough to show something no LED notification battery draining in standby like your playing PUBG go for poco m2 pro best in price segment
336,3,Not as that good
337,3,Value for money....
338,3,"Charger is main issue,they r providing a 18watt normal charger at this price segment,except this all things r upto the mark"
339,3,Camera quality is very poor...
340,3,Good
341,3,"Display is not good as I think because it's LCD
Rear camera quality is not good
Front camera is very good
Charging takes 2hr 32min to full charge.
Performance is good"
342,3,Camera quality should be improved. Display is fine
343,3,"Awesome phone in this price range, but delivery process very poor."
344,3,"No carrier aggregation, hangs a bit,not snappy, and slow charging, other den this it's ok"
345,3,"Lagging when use camera,"
346,3,Changing not fast change
347,3,Slow charging.
348,3,Nice
349,3,Mobile working good but 5000mah battery backup very fast battery drain
350,3,"Budget friendly phone. Don't expect too much from this. Camera is average. Performance is good not laggy at all. Screen quality is also ok not like amoled screen. Phone is bulky and also charger is regular 18w
Better buy Realme 8 by spending additional bucks."
351,3,Good product
352,3,Phone proceesor is slowly but the design and the screen quality is very good.
353,3,Camera is Not 50MP
354,3,Good ..
355,3,Good
356,3,"Heating problem.
Camera is very bad not as 50 mp

Sensor not work properly,afer calling screen close and not open till call end by other person."
357,3,"Nice phone good camera quality, and good bateery performance"
358,3,Nyc product
359,3,Its Good
360,3,Device is very good in this price range but slightly weighted
361,3,Nice phone in this price
362,3,it simply lags from the first day.... simply sad .... didnt expected such a performance from realme atleast at this price . Cameras are descent ...screen is good too.
363,3,Nice
364,3,Nice
365,3,"I purchased 2 phones one is 4gb ram 64gb rom and the other one is 6gb 128gb rom. Notices that the camera quality of both the phone variants is different checked all the camera setting and the results were same 6gb variant gave better colors compared to 4gb variant.
That is the reason they might have put 4 gb ram phone on sale.

Note: The review is for 4gb 64gb rom.

Pros:
Light weight
Good screen
Gaming is also fine tested few casual game and Marval Contest of champions which runs smooth....
READ MORE"
366,3,Delivery was good... Camera is not good
367,3,Good Product
368,3,"camera 10/6
allovor 10/8"
369,3,Processor haven't sustainable for racing games....overall good value for money!
370,3,"Good option for 11k (4+64gb) in BBD sale

But there are minute lags in UI sometimes + some bugs , charging is slow, ram management is poor 😠
And camera is not that great

Rest are pros"
371,3,Good
372,3,Good mobile
373,3,Nice Phone but camera is not good how much I expected
374,3,"Back camera waste
Battery 🔋 drain quickly"
375,3,Mobile is good at 12000 but heating too much during charging
376,3,Amazing phone her battery backup are supper camera are amazing you can bye and anjoy your vibes
377,3,Product is fine mobile running smoothly and fast but battery is fine not good camera is fine
378,3,Nice
379,3,Good
380,3,Good
381,3,Good
382,3,Camera quality is so poor.... Please don't buy it
383,3,Nice
384,3,"Heating issue
Battery not performing well
Average camera performance"
385,3,Super phone
386,3,Good
387,3,Phone is good but flashlight so poor quality
388,3,Battery draining
389,3,Mobile Is good in this budget but battery is issue in regular use battery drain within single day
390,3,"Cam - goog
Performance - osm
Battery - super
Ui_ some bugs like notification slider
4.6 / 5"
391,3,This is noraml charger .. don't 30 wats fast charger ..charg filling too late...back side glass model too gud
392,3,Not value for money. Work performance low.
393,3,too much price
394,4,"Display was good touch response was also good.. appreciated
Camera and performance was good..no doubt 50mp
Lovely..

Battery capacity was good 1 half day without charge.. quick charge 2 hours..

Overall Good At This Price Segment.. Appreciated Realme
G96 was not so stable but it will be fix by updates..
No more expectations..G95 was stable and support 60fps.. recording and gaming.."
395,4,I am reviewing after 15 days of use... terrific camera both back and selfie but secondary cameras are not so good and missing the wide angle camera.... performance wise decent good for heavy tasking..no problem in daily life heavy use... Battery backup is avg not very good not bad....some problems are there because of software ... I wish it get solved with updates..
396,4,Best Phone Ever. Don't Think Just buy this guys. Best camera . Also looking awesome. Fast display.Awesime Features.But 1 think is disappointed that is Battery consumption is little bit fast . Otherwise This is the best Phone . Go for It !
397,4,"Pros
Camera is really good as compared to other devices in this range
120hz refresh rate makes it too much smooth
Helio g96 is is good at performance
Display. It doesn't have amoled screen still gives us too good colour and brightness is fabulous
. New gamespace which show real time for meter 😍😍
Front camera is also awesome
Fast Sidemounted fingerprint

Cons
Only 1080p 30fps video recording support no 4k
Widecamera is missing
18watt slow charger
This phone has upgraded ui which has ads...
READ MORE"
398,4,Nice phone
399,4,Good product
400,5,value for money...
401,4,Nice portrait
402,4,Awesome mobile 👍👍
403,4,Nice phone and look awesome
404,4,Very Good mobail
405,4,"Don't buy this product either Flipkart or seller have extremely poor after sales I've bought it on trust with Flipkart but it is hopeless. Received this product in day 1 since then its network and wifi connectivity had prob. So I thought it may be due to system update but after full update phone is performing same, i found multiple issues display, battery backup and even power switch was disturb it is not properly working. So in day 2 I raise an issue complain with customer service and ask hi...
READ MORE"
406,4,Good mobile
407,4,This is very osm product
408,4,Best camera
409,4,"You can go for this ...a good refreshing rate
Descent camera and display
Baatery life is not up to the mark"
410,4,Good
411,4,"Amazing product
But chargeing slow"
412,4,"Camera good
Display good
Battery very good
Performance note like
Mobile avareg."
413,4,"Nice mobile good camera quality
Not overheating problem during games"
414,4,Nice phone 🤟🤟🤟
415,4,Superb quality
416,4,Good
417,4,Very nice mobaile
418,4,"Mobile is good performance is very good but battery is drain quickly. Normal use is perfect , smooth gaming prosesor"
419,4,Nice product
420,4,watching videos 2 hours then hot. Value for money and camera nice
421,4,Nice
422,4,"At first the delivery was good,after that the product absolutely osm"
423,4,Great phone in this price range. Processor is too fast. Refresh rate is fast. Great phone. Value for money.
424,4,Good camera and nice lookin
425,4,Best deal in this price
426,4,Awesome smart phones
427,4,The phone is nice. Heats a little bit otherwise fine. It doesn't have a ultrawide lens if you want that. Also the charger is cheap. The cable also seems very cheap.
428,4,Good Price
429,4,"Performance of phone is very good..
Display is also good"
430,4,Good in budget phones.
431,4,Awesome camera
432,4,Good one
433,4,Good mobile but charger 18w slow charging
434,4,Nice
435,4,Ok nice 🙂 phone
436,4,Value for money
437,4,Good
438,4,Best handset in this price.... After 1 months I'm giving review..... Fantabulous go for it.....But the flashlight is very poor ...Rest is ok ...
439,4,Nice
440,4,Overall good product but battery backup is not up to the mark
441,4,Good camera quality ☺️
442,4,"Display-: 5/5
Build quality-: 4/5
Camera-: 4/5
Performance-: 4.5/5
Design-:4/5
Battery-: 3.5/5

Overall Good phone."
443,4,Nice
444,4,Nice
445,4,Good and things of best
446,4,"Pros
1. Good cpu
2. Good screen in this price range
3. Good close to stock experience

I bought it in 12.5k

Cons
1.camera is not so good
2.polycarbonate back is not so good so much scratch in back panel
3.slow charging. 18 watt is not enough for 5000mah
4.no expandable memory feature for 4gb variant
5.no ufs2.2 for 64gb Storage variant"
447,4,Osm
448,4,Value for money
449,4,Good phone
450,4,Value for price
451,4,Good
452,4,Good
453,4,This phone performance is good but battery drains fast and there is slight heating issue
454,4,Nice
455,4,Nice Gonfor it 👍
456,4,Good phone
457,4,"Nice mobile I'm satisfied this product, value for money."
458,4,Good
459,4,Nice performance...
460,4,Good
461,4,Delivery boy was not behaving friendly. He refused to open the box despite of flipkart's instruction. Because of this I'm giving less star. There is not any problem with Phone. Phone is nice
462,4,Ok
463,4,Super
464,4,Ok
465,4,"Very good camera smartphone
Performance very good
Sound very good"
466,4,Very nice
467,4,"Realme 8i is one of the best mobile in good range
Everything is work finen smooth"
468,4,Best mobile .
469,4,Good
470,4,Nice
471,5,Nice take
472,4,Camera is not good in this price range. Other wise phone is looking awesome.
473,4,Awesome product 👌go for it 👍
474,4,wow amazing phone you should buy this 🤗🤗
475,4,Thanks flipkart 🤗🤗🤗😍
476,4,"This phone is totally Paisa wasool camera is great battery performance good display nice...
charging speed slow but u don't regret value for money....!!"
477,4,"This phone is totally Paisa wasool camera is great battery performance good display nice...
charging speed slow but u don't regret value for money....!!"
478,4,It's good for everyone
479,4,"I m happy 😊😊😊 realme india thank u .
N thank u flipkart"
480,4,Very nice product
481,4,Nice
482,4,Great one
483,4,Average phone
484,4,Best mobile under 15k
485,4,"Spr clarity phone,,i like it,money worth"
486,4,Nice
487,4,Overall good phone.
488,4,Good
489,4,Nice
490,4,"Good
Value for money"
491,4,Nice
492,4,Nice
493,4,"Nice phone, smooth, picture quality is too good, battry life is little bit little."
494,4,Value for money product
495,5,Awasome look and battary is perfect
496,4,Good
497,4,Very good
498,4,Over all good quality phone in this prize segment
499,4,Ok cool
500,4,Good
501,4,Nice product thanku filpkart 🥰🥰🥰🥰
502,4,"By The way ,Nice phone if you get it something around 12999
it's really awesome
Realmi
but some extra unwanted apps are included in this phone
that must be noticed"
503,4,nice
504,4,Best price good mobile
505,4,Nice mobile thanks for Flipkart
506,4,Good
507,4,Good
508,4,Good
