index,ratings,reviews
22,1,"Canceled my exchange mobile phone for having only one small crack on the screen. Why don't the courier boy have the same exchange policy as you have there? It's not fair.
I am very disappointed."
23,1,Charger is not working properly...
24,1,Camera is not good.।।।
25,1,Screen not working well after one month only
26,1,Speaker problem voice not clear come to loudspeaker
27,1,"Worst mobile I ever purchased not a single thing works properly and horrible experience with Flipkart customer team. Flipkart Technical team without come at location do give customer technical support solve the issue, closed issue with comments like device working fine. Who don't either have any diagnostic knowledge."
28,1,"Poor Network connectivity, Worst product"
29,1,laging from 1st day
30,1,Poor choice.. not sure how come this mobile got such good rating.. camera is worst than old nokia phones.. sound quality also disappointed.. like some China phones...
31,1,Camera is very bad 👎👎👎
32,1,Display hang
33,1,Only 30% charging done in 1 hr that is very bad I'm not happy with this product
34,1,Awesome product
35,1,this phone is not good... too easy to get heat... while charging... and even while playing games it getting heat and sometimes it automatically restart the game..... i wish i could return and get another brand phone
36,1,Worst camera quality......very bad quality photos.... please don't buy the product
37,1,"One of the worst product ever. This is my blunder to buy this product. Camera quality and Display is very poor quality. As in it's mentioned 50MP camera 🤳, it's really like 5 MP camera.
Also, customer service is very bad.
I strongly suggest to not buy this product."
38,1,Not warante card
39,1,"Very bad and cheap product.
And the company is not giving cover.
And the delivered mobile display has been cracked.
And the mobile hang too much.
And camera is too much worst.
I dont like like this product."
40,1,Worst
41,1,"Worst experience with Flipkart, phone is not upto expectation, heating issues, low quality camera and speaker. And especially worst worst experience with Flipkart, they are not doing anything to solve the problem"
42,1,Charger not work
43,1,very bad qualaity
44,1,Do not buy this product camera quality is very bad like 8MP. Front cam portrait mode wrost like ears are not visible.
45,1,Too much hang just after one week with full storage 64gb
46,1,"Please don't buy this mobile,complete hearing problem.The people who is calling me are not able to hear my voice.it happend multiple times.Totally Rubbish mobile"
47,1,Display is not good....I am Real me customer but this time I felt sooo bad on real me product
48,1,Touch response is not quick and battery takes a lot of time to charge. Personally I would not recommend to buy this.
49,1,"Phone is getting hang.
There is delay in response"
50,1,Bed
51,1,Very bad
52,1,Sound problem for calling time
53,1,very bad
54,1,Hanging problem.camra not clear.over all 3 number in 10
55,1,Bad product.did not replace this product
56,1,"Not a good processor, hangs when filled with other apps."
57,1,Worst performance
58,1,Very bad this product don't West your money
59,1,"Camera not good.
-Speaker Sound Very Low
-Network Issue

Not worth Product at This Price"
60,1,All call recording features not available. It is very very........ bad mobile.
61,1,Always freezing
62,1,"Camera very bad , display quality very bad,"
63,1,Camera quality not gud front and rear
64,1,Poor
65,1,Poor camera result
66,1,Dispointed
67,1,"Absolutely rubbish product, rear camera superb waste. Don't waste your money"
68,1,dont buy
69,1,"Camera quality is very poor very bad
Please not perches this mobile"
70,1,Camera not good .battery back up good.disply not good.
71,1,Please don't purchase waste money
72,1,Very worst product and also service of flipkart
73,1,"Worst mobile. Don't buy everyone.
Waste of money."
74,1,Very bad battery 🔋🔋🔋 service
75,1,If you looking for good camera mobile than this phone is not for you & @Flipkart is very unsupportive & not helpful
76,1,"Bad product when i have received this product and when i on Phone of display not working ,sorry for that but this is reality, my advice for you guys if you seen this comment then don't buy please save your hard money 🙏😭"
77,1,"Waste product, dont buy this, total failure product"
78,1,Camara quality is poor
79,1,Good
80,1,"Not a good processor, hangs when filled with other apps."
81,1,Worst performance
82,1,Very bad this product don't West your money
83,1,Bad quality mobile. Bad camera
84,1,"Camera not good.
-Speaker Sound Very Low
-Network Issue

Not worth Product at This Price"
85,1,All call recording features not available. It is very very........ bad mobile.
86,1,"Mobile is very bad, does not work properly and charging is slow, it is getting hot, this phone is not even guaranteed in charging"
87,1,"Worst product too low performance battery backup is also not good
Only for colour u can purchase"
88,1,Good mobile phone
89,1,"Not satisfied with the product, service is not good,This wasn't expected from Flipkart too poor"
90,1,wrost performance
91,1,But prosesor not good
92,1,waste product
93,1,"Back camera isn't opening.
It's 12 days only.

Mobile is slowing down.
Don't buy this."
94,1,Very poor poor poor... camera
95,1,"Screen quality is very poor
It's break in only 7days"
96,1,It's taking 4.5 hrs for full battery ...waste of battery
97,1,Not gud this phn
98,1,This phone process slow
99,1,Waste of money poor phone 📱
100,1,Very Bad
101,1,"This mobile future very bad and slow, battery is very good performance. But price is very high. Not buy this mobile"
102,1,Very poor quality charger and also cemara batary performance very poor
103,1,"Worst battery it takes 3 hour's to charge , camera is worst at night time and there is no Refund only Replacement is available horrible, don't waste ur money friends"
104,1,Not bad
105,1,Very poor quality of camera n performance. To much hanging issue in 2-3 days use only.
106,1,"Do not buy , sound quality is poor, Display is also poor quality"
107,1,Battery was so bad it has a slow charging
108,1,"Bettry issu problems.....very low bettry runs,and takes lot of time in full charge,,full charges 6 hour"
109,1,"Display and sound quality is very bad...
Front camera is also bad..😠😠😠"
110,1,Worst product I’ve ever seen i never expected form realme that they will launch this worst type of product
111,1,"Useless phone for gaming.
Overheating when gaming.and charging time phone also heating esu."
112,1,very poor
113,1,Camera quality not perform as expected
114,1,Mobile Phone not working
115,1,"Camera not clear shoot photo
Display not clear
Average phone
Bettery backup good
Charger slow"
116,1,Camera quality is very bad.
117,1,Photo bad
118,1,Cemara bad qualify
119,1,Very very bad camera Quality.. is it 50 mega pixl? I think 2mega pix only.. Pathetic😬
120,1,Not Good wast of money
121,1,Camera quality poor don't waste your money 🙏🏻
122,1,This mobile is not working properly
123,1,"Worst camera of this mobile .
Dont like camera and flash of this mobile."
124,1,Very nice phone but let delevry
125,1,Please please please don't bye this product this is one of the worst quality product.... I suggest you to don't bye... There is so many others option
126,1,"This is very very bad phone, After receive 15 days, it's standard chargong problem, Don't buy realme Narzo phone"
127,1,Don't buy this phone 😞 your money wastages
128,1,"Most worst 50mp camera,
No Google camera support
Heavy weight
Low volume speaker,
No noise cancellation mic,
Only good thing is battery backup,
Can't able to login WhatsAppweb with this worst camera"
129,1,front camera is very poor and call history is not showing
130,1,"WORST PRODUCT AND WORST FLIPKART RETURN POLICY
pls dont by on flipkart
they cant replace mobil
camera thierd class
mobole call connect issue many time
display quality was third class"
131,1,Use interfaces is not good. Some applications are not working smoothly.
132,1,Camera not as expected. FM not avbl
133,1,Charging cable and adapter were faulty and didn't work
134,1,Sim not detected
135,1,"3rd class mobile, 3rd class speaker only trouble sound, big chiter realme 3rd class camera please not buy this phone narzo 50a camera not ok, i think rear camera 8mp selfie camera only 2mp camera not average clearaty my old mobile rad mi 3s prime was only five Mp but camera very clearity camera quality was chiting, call recording anounce ment your call will be recorded this is very biggest problem"
136,1,"Worst mobile. Don't buy everyone.
Waste of money."
137,1,This phone is west Camra is lo cost photo shoot is very bad quality I lost my money
138,1,"Ordered it on 05 Oct
Delivered on 10 Oct
& On 19 mobile stops charging
Application's closes automatically

Very bad phone don't go for this trash."
139,1,PERFORMANCE IS NOT GOOD AS EXPECTED
140,1,Charging takes very slow
141,1,"Volume slow bad , no sound"
142,1,"Camera very bad , display quality very bad,"
143,1,Camera quality is very bad.
144,1,Very bad phone. Not work properly
145,1,Don't buy this phone .. camera quality is third class like 8MP
146,1,"Camera 3rd class, battery not as per description,sound quality poor, even after inform to flipcart, no one responded, 3rd class service by flipcart , I hope this one is my last purchase from flipcart,after this good bye flipcart for this bad experience."
147,1,Band product received I hate it
148,1,"Camera not good
As per 50 megapixel poor camera"
149,1,It's experince is not as expected
150,1,Do not buy this phone.
151,1,"Product showing 18W quick charging facility but there is no quick charging facility.

Camera result is also not good.product showing 50 MP camera but photo quality is like 12 MP camera"
152,1,Microphone is week
153,1,Camera is very bad 🥵
154,1,"This mobile useless display sond and camera not as expected you can buy realme narzo 30
Don't buy this mobile"
155,1,Camera very bad quality
156,1,"Very bad sevice by technical support . without calling he rejected replacement request.camera quality is not good, phone is very slow.after installing application phone getting slow.
Very bad services by flipkart and not a good phone.
I suggest not to buy this product.😡😡"
157,1,Don't buy
158,1,"Redmi mobiles are better than realme at same price.
Camera quality is not good. Performance also bad."
159,1,Not value for money in the segment. Please don't go for it.
160,1,"Worst product, very slow, overall performance is very poor,"
161,1,"Worst product not working, not getting on
Dissapointed with these😠😡"
162,1,"Poor image quality, front camera was rubbish, realme need to improve image quality ...
Please return the phone."
163,1,"Image quality vey very poor
Flipkart also not provide proper solution for that.
It can no provide proper answer.
Very bad company Flipkart"
164,1,Not like the phone. I feel configuration is not justify the mobile performance.. Guys go for the brand...
165,1,"The worst phone by realme.
Low nits,camera extremely poor, charging speed 3-5 hours"
166,1,"They are saying fast charging but it's take long time for getting full charge approx 2hours or more
And battery performance also not good 6000Amp it's not standing 2days with normal use also ..."
167,1,Lot of issues
168,1,It's not a fast charger. They claiming 18 watt charger but charging time is very long. Camera is below average.
169,1,Speaker sound is poor
170,1,"Facing issues in opening camera,and other apps when I open apps. After opening it auto disappeared.
At last there is only way restart"
171,1,"phone camera is not 50MP it's 5MP
No sound quality , Wight is more then my old phone"
172,1,Very bed product n very bed site
173,1,Worst of money u can buy pogo M3 or infinix hot 10s with same specifications at less price. This product is not worth of money
174,1,sound is not good even in call sound is very low camera is not up to the mark only battery backup is good
175,1,Camera quality is very poor. If you want to buy a best camera phone then don't waste your money to buying it
176,1,"Very very poor camera..
Performance poor..
Some times fingerprint not working..."
177,1,Wast product and chetta experience
178,1,Very bad expirience with this product
179,1,"Lagging too much

Worst performance"
180,1,battery week
181,1,Flipkart Service Goods But relame Narzo 50A Camera very bad quality
182,1,Camera performance is poor
183,1,Dont buy this phone its waste of money. Poor camera clarity also phone have huge weight.. Dont buy this phone all over poor performance..
184,1,Waste of money
185,1,Camera quality poor & Sound problem
186,1,Mobile not good
187,1,Camera Audio speakers and display resolution are too bad .
188,1,"Cons:
1. It doesn't support multiple users directly, you have to use some work around to enable this functionality.
2. Camera is poor, very poor - it can't justify 50mp.
3. It doesn't support always on display feature.
4. Build quality is very poor, phone's body will make some sounds in your hand specially the area around type c port.
5. Phone doesn't come with the back cover as mentioned in the unboxing video.
6. ROM is of type emmc which is very slow compare to UFS.

Pros:
1. Battery life ...
READ MORE"
189,1,If you looking for good camera don't buy this..camera quality is very very poor.but battery backup is good.Also display quality is very poor.over all phone quality is expected very poor.next time no deal with realme..
190,1,Camara is very bad not 50m 2m flash light low quality don't buy cam lovers
191,1,Nice phn in budget
192,1,Very Very poor camera quality
193,1,Bad product
194,1,Audio and music quality is worst
195,1,Super
196,1,Its getting heated unnecessarily😤😤
197,1,Disappointed with display and camera!!!
198,1,One of the worst phone. Screen is really bad.. Hanging while typing any messages. Cheap quality screen.
199,1,"Mobile heating problem
Mobile charge will be in 5 hours
Too much slow
No refund no exchange from Flipkart"
200,1,Bad display
201,1,i don't know how they call it 50 megapixel . but it is looks like 2 megapixel. very much disappointed.
202,1,Heating problem.....
203,1,Camera quality very poor
204,1,Very very bad camera
205,1,Touch not good
206,1,"Very bad camera if anyone want to buy this phone for camera I personally requested only for camera don't buy if you leave the camera then otherwise the phone is very good camera is too bad I am cheated only for camera
And very very bad camera performance..."
207,1,Camera quite very bad
208,1,Camera quality bad
209,1,Poor camera quality bad phone not buy this phone
210,1,"Phone becomes Hot Like Hell just by Watching videos at 1080 on YouTube

Phone has screen which customer can't use"
211,2,"First of all thanks to flipkart for excellent service. otherwise realme narzo 50 A is realy worst one in realme series, camera quality is so poor, it's not like 50mp camera it's like 2mp camera clarity is very dull n blur, don't buy if you want good camera phone"
212,2,Touch performance is not good
213,2,Camera quality is very poor as per description show 48 megapixel but photo click as a 5 MP camera
214,2,"1.Display quality is very bad,
2. Camera is not good,
3. Battery is good,
4. Performance is avarage
5. Back side look is bad,"
215,2,Don't waste ur money
216,2,Bad mobile.
217,2,"I purchased this Phone 2 days ago.Apart from all specifications,it was written that ,Fast charging was there.but it was slower than normal.It took more than 5 hours for charging,though not fully charged. Please give clarification and solution on this."
218,2,Not good camera📷
219,2,"Camra quality poor and slow while working on data
Poor performance"
220,2,Bad cervice replacement mobail
221,2,Poor camera quality
222,2,Camera clearity west
223,2,After 2 months hanging problem in this mobile
224,2,"Worst camera. Realme 5s had the best camera but now realme is using cheap and worst camera , battery performance is good."
225,2,Hanging problem
226,2,"Very poor quality products
And camera is not satisfied"
227,2,"Worst camera.
Slow touch response.
Battery is good."
228,2,Battery backup not too good..
229,2,Battery I think 4000mah
230,2,It's camera quality is very poor. Even in comparison with old model redme note 3.
231,2,This phone automatic silent mode problem only my phone no all real me narzo 50a phones this problem
232,2,Purchase policy is very pooar
233,2,Camera poor quality
234,2,Overall is good for normal use. Gyroscope is bad . sometime screen also not working properly
235,2,camera quality bery bad
236,2,Bad product
237,2,"Worst camera, even extra option removed from camera..."
238,2,"Worst product.
Calling function is worst during a call no sounds coming in it😡"
239,2,Very very poor display... I am not expecting ... Display seen other angel cutout show . Very very poor quality display... Cutout...
240,2,"Camera quality low, battery performance High,Fast Charging not ok , Display ok, Features at this Rs-12K not satisfied,all over (2.8/5) rating."
241,2,Mobile good camera is not good
242,2,Very bad phone📱
243,2,Don't buy this no value for money
244,2,V bed quality
245,2,"Front camera Quality very poor
Product hiting problem
Sounds Quality very poor
Speeker sounds Quality very poor"
246,2,This phone is very useless....
247,2,Not bad but cover problem
248,2,Heating issue while charging
249,2,Sound quality is very poor. Software also not functioning properly . Just so so and time pass mobile.
250,2,"Camera quality very poor, with 50 mp camera"
251,2,Front camera quality very low compared than same price range another company models
252,2,Not working properly
253,2,WROST CAMERA AT THIS RANGE NOT 50 MP CAMERA
254,2,Ok product but not best product
255,2,The volume is not as expected
256,2,Vedio and audio sound clarity not good low sound
257,2,"Bad Quality Camera, other facilities are very good"
258,2,The biggest issue with this phone is that it's take more then two hours for full charging that why I am Giving three star otherwise it's a very good phone.
259,2,"Mobile speaker 🔊 performance not good,"
260,2,"Even though battery is 6000 mAh, it won't last more than one day.
It's charging speed is also too slow. Takes around 2.5 hours to get fully charged.
I am very disappointed with its battery performance.

Camera and display are good.
Buy only if you are getting it below 10k in Flipkart sales."
261,2,"Camera quality is very bed ...
High waight and It's normal nothing new..
Prosessor slow"
262,2,"Not a good phone, pretty average, low build quality, camera is poorquality, performance is just ok."
263,2,Not good at this price
264,2,"Camera Quality is very bad ...
I can't explain in words😣😣
I had never expected this from flipkart"
265,2,Camera waste
266,2,"The camera quality is not great.Processor is slow, screen is not good. Overall is not a best buy at the given price."
267,2,Battery backup and display quality is gud but camera is not as expected....☹️
268,2,"I bought many mobiles till date i never felt dissatisfied. Finally when i thought to buy this mobile i felt it will be great deal, after a lot of brainstorming and research i came to that conclusion

But in reality this is the worst selection of my entire purchase history. This mobile look and display like a chillar chinese mobile looks. So called glorified 50MP cam is worse 2MP VGA camera after early 20's. I dont know why Realme did this.

Totally broke with Camera performence. Redmi Note ...
READ MORE"
269,2,"Don't buy this mobile features are many but performance is not up to the mark ,I am feeling sad after purchasing"
270,2,Realme narzo 50A mobile is bad system or bad camera
271,2,Camera clarity not good. Don't purchase the product.
272,2,"Very poor camera.. it's equal to nokia 2mp camer.don't waste your money

Go another phone"
273,2,Display quality is very poor in this price range.
274,2,Camara clarity tooo worst and voice clarity is too bad
275,2,"Camera quality is very bad, They are making people fool by saying 50mp camera, it's doesn't seems like even 8mp."
276,2,Quality not bad
277,2,Not value for money
278,2,Camera not good
279,2,Average
280,2,"Don't purchase , poor camera quality , internet network also slow. Waste of money"
281,2,Waste mobile no one to buy this product
282,2,Charging time more then 3hr taken ...... FAQ said it's take 2hr but actually it takes more than 3.5hours
283,2,Camera is very poor
284,2,Camera not good and 2.0 GHz. Not good and high price
285,2,"Worst camera quality,
Battery backup is just good..
Feeling upset about camera and display performance"
286,2,Good mobile performance
287,2,Camera quality not good.
288,2,Front camera very bad bad body look very bad fully disappointed
289,2,"The phone is good but the exchange condition is not good. Small things are not good, your exchange phone value is reduced and you need to pay money at that time.

Phone is Average."
290,3,"Display could have FHD....camera is ok.
Rest are ok in this price. I assure you you will not be excited very okies phone. According to you must go another Better options in this price range."
291,3,"Expedited the display to be good. But the display is not up to the expectations rather than this mobile in this cost vivo will provide good quality of display.. . Camera is average, battery performance will be obviously good. Performance is okay. If you wish to pay games and watch movies or more videos this is not the good option. But it's value for money"
292,3,"Phone performance is quite good
All over in budget phone is totally paisa vasool"
293,3,"Literally, camera sukcs!!!!
Realme accidentally added an extra 0 in front of 5. Making it 50MP instead of 5MP. Front camera also not good. I am using realme phones since laat 4 years , cameras are always their major buying point, but narzo 50a has it as a greatest drawback.
Rest all things are as per specification shown.
Overall good if u can neglect camera ."
294,3,I don't know why company has claimed the camera is of 50 MP. It's as good as 20 MP only. Rest of the things are good but not according to price. In that case Samsung phones supersedes the realme with the same price. I am little disappointed to opt it.
295,3,average
296,3,"Good mobile in lower price, Camera MP very poor quality as per given camera specification"
297,3,"All the reviews you have see on flipkart is fake only made by offering some cashback or coupon discount.
I am very disappointed with front and back camera both in low light. This is also not upto the mark. Battery backup is good. Overall performance is more than good."
298,3,"Display is poor
Function are not that smoother
I would like to buy Motorola Phones in this range comparative to realme phones
Touch is not that faster as shown
For finger sensor you have to find the area for touch
Over all this is not worth of 12k phone, it must be of around 8k-9k."
299,3,Good
300,3,Okeish.. nt OSM
301,3,Average
302,3,Camera quality is not at all like 50mp.
303,3,"All good in the phone and full value of money, but issue is on the piece of delivery which is very poor, Got if after gifting to someone else on occasion."
304,3,Nice
305,3,It's okay
306,3,Best
307,3,Front camera changes the image quality after clicking
308,3,Best
309,3,Camera is very poor but battery and storage good
310,3,"Camera I Ok
Display is Not so much Good
Processor is not so much Good
Battery backup is Excellent
Design in Excellent
Value for money below 10K."
311,3,"Average phone, taking too much time to charge. Camera is average."
312,3,Under 10k value for money
313,3,Not fully satisfied
314,3,Average product
315,3,Very nice product as well as service provided by Flipkart...
316,3,Ok ok
317,3,Not bad
318,3,Osm 😍😍😘
319,3,Camera and display bad quality
320,3,"Average and a bit overpriced.
Battery backup is excellent but charging time is more than 3 hours. Just skip and go for other to buy."
321,3,"This phone is amazing n worth it's price, it's a must buy product ,but
NEVER GIVE YOUR PHONE FOR EXCHANGE,they fool customers!!!"
322,3,good product below 10k above redmi 10 prime is better option on 11k or below
323,3,"Even with 18W charged it takes more than 3.5 hour to charge this phone, seems fast charger is dummy only.
Back camera is good but front is less than average"
324,3,"It's completed more than one month still date (13/December/2021)...
Still date is working fine...
It's use full for daily rough usage...
It's good usage for dedicated slots...
And very very bad is fingure placement."
325,3,It's ok
326,3,I am not satisfied because camera quality is very bad I don't like it
327,3,"Battery Capacity is Unbelievable
Camera is not good if you're a Camera lovers or selfie then Don't Go for it but A Havey users a Gamer than This phone for you
Full day Hotspot on battery Backup is Two days
Phone is very havey in weight"
328,3,Average
329,3,Nice
330,3,Nice but no clarity of camera
331,3,Just ok
332,3,Assume phone
333,3,Camera is not good
334,3,Camera quality is not matching with given features. But overall quality is good in the price
335,3,Mobile hanging game users don't buy
336,3,Nice
337,3,"Not Good but not bad also .
It could have improved it's camera quality.
The display is not very smooth it was expected more smooth"
338,3,"Display is ok. Speed ok. Camera quality is average specially in low light. Sound speaker is ver low below average. Storage is sufficient, no much storage blocked / used for internal app. Overall average mobile. Not recommended to buy if already using better specification."
339,3,"Phone camera was not good😰😥

My brother useing realme phone for last 3 years and his picture quality was good, for that reason I am buying realme narzo 50A but totally disappointed for that decision.

Otherwise phone performance was good and battery backup also nice.🤗🥰😍😘"
340,3,Very poor camera
341,3,"Ph is good , but display can more more improvement"
342,3,It's a average phone
343,3,Super nice product in the price
344,3,Goot to by price
345,3,"If realme made it with full hd, it would be better...."
346,3,Its just okay phone
347,3,"It takes time to capture the pic, not satisfied with camera, overall others features are good."
348,3,Nice camera and battery backup is also good thank realme
349,3,Ok Good Mobile
350,3,Good phone under this price
351,3,Not bad but suddenly pause during audio or Video playing
352,3,Nice mobile
353,3,Good but not for camera lovers 😓
354,3,Great
355,3,"i am sharing my view about this phone
pros
light weight
screen size is good
good looking
cons
screen resolution is too bad
48 mp camera but camera quality is not good seems like u captured your photos by 12 mp camera
sound quality is also poor
but if you find a average phone so this is the right phone for you"
356,3,Nice product with minimum budget
357,3,In this device 50 mp camera but this is not working properly. And display quality not bad..
358,3,Worth as per the prices but specifications mentions sets higher expectations which is not equivalent.
359,3,Gone are the days of good camera from Realme. My last phone was Realme Note 5. It had excellent camera. But Narzo 50A camera is very poor performing. Indoor images are pixelated. In outdoor light it is better but not great like old Realme phones. Battery and charging is quite good. I don't think I will go for realme again if this is their camera standard. Display could be brighter and missing the full HD clarity of display.
360,3,Camera is so dull compare to other mobile in this range . battery is best.
361,3,Good morning
362,3,Okay
363,3,Super
364,3,Good
365,5,Nice
366,3,"Super mobile , I liked Back design and super battery Back Up 😊 ,Good Camera Clean"
367,3,Nice phone 🙂.but price is too high on diwali sale.
368,3,"Phone is smooth, battery life is also good. But camera which is the highlight of this phone (50 MP) is not even everage quality. 50 MP is just make your photo size bigger. My old phone realmente c2 camera 1 is better than marzi 50A. Camera has disappointed me.
I going to change it now."
369,3,"Mobile is okay with price range,Camera is very poor"
370,3,"Some optimization required in software and the hardware.
Some time while playing video on speakers the sound come through earpiece not through the speaker.
Camera is decent. In night mode pic are not so natural.
Bokeh mode is look like wearied some time.
with the help of 18W charger it change slow."
371,3,Worthy
372,3,"1. Camera quality doesn't meet expectations of 50MP,
2. Front camera quality is third class, poor quality pics even in daylight
3. Very low flashlight.
4. Battery backup is good with 6000 MAH.
5. Don't buy if you are addicted of taking selfies.
6. I have attached pic of front camera taken in proper light for your reference."
373,3,Very good
374,3,"Good phone at average budget, but display resolution should have become Full HD+, but it's is hd"
375,3,It's nice phone
376,3,Nice product
377,3,If you are looking for mobile phone with good camera then you will be highly disappointed but battery backup is superb.
378,5,Nice
379,3,Front camera is poor
380,3,Good
381,3,good product
382,3,Camera 📸 not good..worst quality
383,3,It has claimed 50 MP rear camera but It quality is like any ordinary phone. I am very disappointed with the camera quality. I will not reccomend to buy this phone if want good pics.
384,3,Ok
385,3,All good but little heavy phone.
386,3,Very nice..realme narzo 50a 👌
387,3,All things are ok but not support dart fast charing ehat the charge is provided so i refused 1 star
388,3,Not good
389,3,It's not look like fast charging
390,3,"I would have give FHd+ and atleast 90hz refresh rate but it doesn't get it
And one more cons is that why marzi doesn't give back cover.👎"
391,3,Nice
392,3,I like it. It is good mobile. Camera is ok.
393,3,Just 🆗🆗🆗
394,3,Good
395,3,Features are Ok. As lined up with the price.
396,3,Good product
397,3,Good
398,3,Not right value for money
399,3,Worth of money
400,3,Good product
401,3,Nice
402,3,Camera poor in night battery gud performance
403,3,Some more want to improve in sound
404,3,"In new condition mob is ok, inside speaker are very low"
405,5,Over all good
406,3,Nice product
407,3,Okey
408,3,Nice phone
409,3,Average mobile
410,3,"Camera gives an issue in reading the barcodes. Phone is nice such budget but it's heavy as well.
Plus it's slow."
411,3,Taking so much time to charge fully like it's 10W. Charged more than 1 hour and charged only 30%.
412,3,"Charging takes 3hr,front camera is not good as rear"
413,3,Iyam not happy
414,3,"Should have provided case in the box
Charging is bit slower coz of 6000mAh battery"
415,3,Nice
416,3,Not good in this price range
417,3,Good
418,3,Very good phone
419,3,Camera quality is not good
420,3,Verry good product
421,3,"Camera not good.. front camera very poor quality.. Don't buy this mobile, failure product..."
422,3,I used mi redmi mobile note4 note6pro note8 but this realme mobile options or not satisfied contacts and calls options
423,3,Camera is not of 50MP.
424,3,🙂 nice
425,3,At this price I'd recommend the Redmi 10 prime or even the realme 8i
426,3,Camera is 2 Baddddd
427,3,"Normal good but this phone,,,,,,,"
428,3,Features I The phone is good but The camera on mobile is not calarity
429,3,Camera is not that good
430,3,Camera below average
431,3,I didn't expact do flipkart with me I didn't get My back cover of phone and now this time I don't get good service now this time I hate shopkeeper but phone is good🥵🤬🤬🤬😡😡
432,3,Very good product
433,3,The delivery was before time .. really appreciate… and the product of ok
434,3,Good display is nice but camera is worst
435,3,"Screen resolution is really low (not full hd). Camera should be 12 - 15 megapixal not 50 (as they write) , don't know how they can claim.
Buy it for more internal space and battery. Nothing else. Quite average product."
436,3,Waste of money
437,3,Nice
438,3,"Even it is a 50MP camera, No expected clarity as comparative with 48MP in other brand phone. And getting battery heat while charging."
439,3,Okay kind of product. The price is high comparatively oppo 5G phone.
440,3,Good luck
441,3,"Battery is good, but the camera quality is not good."
442,3,good
443,3,it is okay with 3 stars
444,3,Ok
445,3,Cool one
446,3,Good
447,3,"Volume level is very low compair to realme 5pro,"
448,3,Good but not best
449,3,Very good❤❤❤
450,3,Average phone
451,3,Good phone
452,3,"Its good to have 6000mah battery but 18W charger is not good enough for 6000mah battery , it takes so long time to full charge the battery."
453,3,"Not worthy with that price, not as expected"
454,3,Screen is very big if some small is better.
455,3,There is a issue with auto call recording where voice message of recording alert hering at other side just after of pick the phone call ...... Which problem may be shot out by manufacturer in next software update .
456,3,"Camera is worst
Battery is good, stands for two days under moderate use
If you are not a camera lover then go for it
I bought for 9500, 128gb memory 4gb ram
Works smooth.
Looks little bulk
Instead of multiple cameras if they have one good camera that's is enough, nowadays all phones are cheating like this, unless if it is more than 20k

Overall ok for this price."
457,3,Good
458,3,"Camera 👎
Battery 👍
Performance is ok"
459,3,"Everything thing is good except screen quality
Poor screen quality"
460,3,Ok good
461,3,Display is 720 pixels only. Should have been a Full HD display at this price range. Doesn't seem like a 50 MP camera.
462,3,Camera not performance
463,3,"Camera quality is good , battery 🔋 backup is good, screen touching power is smooth , nice product at this price finally this product is not bad and thanks Flipkart for this adorable phone"
464,3,Good one
465,3,Value for money 💰
466,3,Very Good battery
467,3,Sound & volume not good....
468,3,good product in resonable price
469,3,Ok phone for everyday use..not for gamers.
470,3,Average phone
471,3,camera quality very bad...
472,3,"Slow charging, wats app lagging some times not responding properly this mobile"
473,3,Excellent mobile 🥰 for gaming
474,3,Product is ok.
